asset,k,model,n_oof,accuracy,f1_macro,f1_sell,f1_hold,f1_buy
btc,0.4,xgboost,2400,0.4041666666666667,0.3610165377657817,0.4372384937238494,0.18811881188118812,0.4576923076923077
btc,0.4,lightgbm,2400,0.42041666666666666,0.3482528332385641,0.4421803362200713,0.11501597444089456,0.48756218905472637
btc,0.4,random_forest,2400,0.425,0.3545118434168646,0.45545545545545546,0.12440191387559808,0.48367816091954025
btc,0.4,mlp,2400,0.40458333333333335,0.32806587997669706,0.4090909090909091,0.0984182776801406,0.4766884531590414
btc,0.5,xgboost,2400,0.3908333333333333,0.3671348277010435,0.42567196928140427,0.23842364532019705,0.43730886850152906
btc,0.5,lightgbm,2400,0.40041666666666664,0.36085787864388275,0.43137254901960786,0.18885096700796358,0.46235011990407676
btc,0.5,random_forest,2400,0.40041666666666664,0.35968205644689216,0.44561774023231254,0.18244803695150116,0.45098039215686275
btc,0.5,mlp,2400,0.3908333333333333,0.3465253027958459,0.39624724061810157,0.17712177121771217,0.46620689655172415
btc,0.7,xgboost,2400,0.35791666666666666,0.35572816323288176,0.3797780517879161,0.3108952116585704,0.3765112262521589
btc,0.7,lightgbm,2400,0.35041666666666665,0.3445139300099056,0.3709180529882933,0.2759134973900075,0.3867102396514161
btc,0.7,random_forest,2400,0.3625,0.3528647716111833,0.403744880046811,0.25705329153605017,0.3977961432506887
btc,0.7,mlp,2400,0.34791666666666665,0.33505711116010745,0.34840265220012057,0.2510602205258694,0.4057084607543323
btc,1.0,xgboost,2400,0.3570833333333333,0.3502912584316948,0.315712187958884,0.41404233350542075,0.3211192538307795
btc,1.0,lightgbm,2400,0.3591666666666667,0.34924343595313445,0.29227237949502677,0.42412060301507537,0.3313373253493014
btc,1.0,random_forest,2400,0.3620833333333333,0.3529259398914933,0.3150074294205052,0.4251497005988024,0.31862068965517243
btc,1.0,mlp,2400,0.33625,0.3326346702220293,0.2813633067440174,0.3611738148984199,0.3553668890236507
eth,0.4,xgboost,1200,0.38083333333333336,0.3494576331600458,0.39337016574585637,0.2033898305084746,0.45161290322580644
eth,0.4,lightgbm,1200,0.385,0.34437157123402723,0.3751412429378531,0.18867924528301888,0.4692942254812099
eth,0.4,random_forest,1200,0.3883333333333333,0.3499594036916542,0.38847385272145146,0.19854721549636803,0.46285714285714286
eth,0.4,mlp,1200,0.375,0.30680608268795306,0.3689776733254994,0.09696969696969697,0.45447087776866285
eth,0.5,xgboost,1200,0.38416666666666666,0.36768167857981887,0.37660818713450295,0.2743682310469314,0.4520686175580222
eth,0.5,lightgbm,1200,0.37333333333333335,0.3497666088003953,0.3655913978494624,0.23968565815324164,0.444022770398482
eth,0.5,random_forest,1200,0.38666666666666666,0.364493623535757,0.3878241262683202,0.25147347740667975,0.4541832669322709
eth,0.5,mlp,1200,0.3525,0.3115552576348376,0.3715319662243667,0.13507625272331156,0.42805755395683454
eth,0.7,xgboost,1200,0.3433333333333333,0.3373407082988842,0.3477188655980271,0.27218934911242604,0.39211391018619934
eth,0.7,lightgbm,1200,0.345,0.33847214875879544,0.34190231362467866,0.27606461086637296,0.39744952178533477
eth,0.7,random_forest,1200,0.36,0.35128488256674156,0.3681710213776722,0.27531645569620256,0.4103671706263499
eth,0.7,mlp,1200,0.3425,0.3328540134332352,0.3656716417910448,0.254071661237785,0.3788187372708758
eth,1.0,xgboost,1200,0.3466666666666667,0.34389161211792363,0.30416068866571017,0.37485714285714283,0.3526570048309179
eth,1.0,lightgbm,1200,0.3516666666666667,0.3488540856950106,0.31085043988269795,0.3707995365005794,0.3649122807017544
eth,1.0,random_forest,1200,0.36916666666666664,0.3673098852349681,0.3375886524822695,0.38979118329466356,0.3745498199279712
eth,1.0,mlp,1200,0.36583333333333334,0.36113269775192197,0.3239669421487603,0.4013230429988975,0.3581081081081081
