asset,arch,model,n_oof,accuracy,f1_macro,f1_sell,f1_hold,f1_buy
btc,flat,xgboost,2400,0.37916666666666665,0.349400230476063,0.3827983040581466,0.20408163265306123,0.46132075471698114
btc,flat,lightgbm,2400,0.38416666666666666,0.3465757475136335,0.3925346177001806,0.1720647773279352,0.47512784751278475
btc,flat,random_forest,2400,0.3729166666666667,0.32794961470336864,0.37117117117117115,0.14442013129102846,0.46825754164790634
btc,flat,mlp,2400,0.405,0.30428998541168834,0.3207920792079208,0.057692307692307696,0.5343855693348365
btc,2stage_trend,xgboost,2400,0.39416666666666667,0.36051018668537416,0.429123000551572,0.19915254237288135,0.4532550171316691
btc,2stage_trend,lightgbm,2400,0.3829166666666667,0.3473143034413435,0.4074492099322799,0.1772679874869656,0.4572257129047849
btc,2stage_trend,random_forest,2400,0.40541666666666665,0.368721845635192,0.4434829637641969,0.19696969696969696,0.4657128761716823
btc,2stage_trend,mlp,2400,0.375,0.31023051040482313,0.33354470513633483,0.10886075949367088,0.4882860665844636
btc,2stage_macro,xgboost,2400,0.3858333333333333,0.3562679349460948,0.40606767794632437,0.2043222003929273,0.4584139264990329
btc,2stage_macro,lightgbm,2400,0.38666666666666666,0.3611807048689382,0.4111045481393975,0.21641791044776118,0.456019656019656
btc,2stage_macro,random_forest,2400,0.3745833333333333,0.35593335195685866,0.3909512761020882,0.24452554744525548,0.43232323232323233
btc,2stage_macro,mlp,2400,0.39708333333333334,0.3421296830801981,0.3807312826465467,0.15584415584415584,0.48981361074989166
btc,3stage_full,xgboost,2400,0.3908333333333333,0.3671348277010435,0.42567196928140427,0.23842364532019705,0.43730886850152906
btc,3stage_full,lightgbm,2400,0.40041666666666664,0.36085787864388275,0.43137254901960786,0.18885096700796358,0.46235011990407676
btc,3stage_full,random_forest,2400,0.40041666666666664,0.35968205644689216,0.44561774023231254,0.18244803695150116,0.45098039215686275
btc,3stage_full,mlp,2400,0.3908333333333333,0.3465253027958459,0.39624724061810157,0.17712177121771217,0.46620689655172415
eth,flat,xgboost,1200,0.3641666666666667,0.3541786420310948,0.3939745075318656,0.27702702702702703,0.3915343915343915
eth,flat,lightgbm,1200,0.3575,0.34746106073644917,0.39035591274397247,0.26666666666666666,0.38536060279870826
eth,flat,random_forest,1200,0.37,0.3595496592490861,0.4018801410105758,0.2694805194805195,0.40728831725616294
eth,flat,mlp,1200,0.4166666666666667,0.28519027778928213,0.3058470764617691,0.0,0.5497237569060773
eth,2stage_trend,xgboost,1200,0.38,0.36113025448589875,0.37922705314009664,0.2508833922261484,0.4532803180914513
eth,2stage_trend,lightgbm,1200,0.38666666666666666,0.36519005079030226,0.3592814371257485,0.2697495183044316,0.4665391969407266
eth,2stage_trend,random_forest,1200,0.38416666666666666,0.35764737689440856,0.3854289071680376,0.22789783889980353,0.4596153846153846
eth,2stage_trend,mlp,1200,0.35083333333333333,0.32081086600936576,0.3408284023668639,0.19658119658119658,0.4250229990800368
eth,2stage_macro,xgboost,1200,0.37916666666666665,0.35502708242811415,0.3945885005636979,0.23434343434343435,0.4361493123772102
eth,2stage_macro,lightgbm,1200,0.36666666666666664,0.34651806977833743,0.3958573072497123,0.22509225092250923,0.4186046511627907
eth,2stage_macro,random_forest,1200,0.37833333333333335,0.348156865328479,0.43013100436681223,0.19222903885480572,0.4221105527638191
eth,2stage_macro,mlp,1200,0.4008333333333333,0.3430988510986905,0.3847072879330944,0.15633423180592992,0.48825503355704697
eth,3stage_full,xgboost,1200,0.38416666666666666,0.36768167857981887,0.37660818713450295,0.2743682310469314,0.4520686175580222
eth,3stage_full,lightgbm,1200,0.37333333333333335,0.3497666088003953,0.3655913978494624,0.23968565815324164,0.444022770398482
eth,3stage_full,random_forest,1200,0.38666666666666666,0.364493623535757,0.3878241262683202,0.25147347740667975,0.4541832669322709
eth,3stage_full,mlp,1200,0.3525,0.3115552576348376,0.3715319662243667,0.13507625272331156,0.42805755395683454
