rule,asset,model,total_return,annualized_sharpe,max_drawdown,n_trades,win_rate,final_equity,n_days,span_start,span_end
stateful,btc,xgboost,17.98350411338635,1.0572614581321587,-0.3289439917264819,161,0.577639751552795,18.98350411338635,2400,2019-01-26,2025-09-05
defensive,btc,xgboost,3.0369455798286724,0.6263641133888238,-0.4844921164772181,225,0.5511111111111111,4.036945579828672,2400,2019-01-26,2025-09-05
prob_weighted,btc,xgboost,1.1040555777802892,0.8084838657876581,-0.16318912556190424,220,0.5772727272727273,2.104055577780289,2400,2019-01-26,2025-09-05
stateful,btc,lightgbm,30.231372962114907,1.231434576379025,-0.35466018920089204,157,0.6242038216560509,31.231372962114907,2400,2019-01-26,2025-09-05
defensive,btc,lightgbm,9.53779490814704,0.9647951449056572,-0.4509101933006042,228,0.5701754385964912,10.53779490814704,2400,2019-01-26,2025-09-05
prob_weighted,btc,lightgbm,1.051052222118134,0.8640275790179046,-0.15206322986039433,222,0.6216216216216216,2.051052222118134,2400,2019-01-26,2025-09-05
stateful,btc,random_forest,15.381096877283483,0.9699165914901358,-0.5026434915369808,185,0.5675675675675675,16.381096877283483,2400,2019-01-26,2025-09-05
defensive,btc,random_forest,9.645772261725986,0.8854732744478295,-0.44774390242148343,236,0.5677966101694916,10.645772261725986,2400,2019-01-26,2025-09-05
prob_weighted,btc,random_forest,1.0763750003111991,0.8404078891215304,-0.13295437539666155,211,0.5734597156398105,2.076375000311199,2400,2019-01-26,2025-09-05
stateful,btc,mlp,19.08392618495882,1.0086204046640552,-0.47180697088193657,185,0.5945945945945946,20.08392618495882,2400,2019-01-26,2025-09-05
defensive,btc,mlp,17.2331750348868,1.01259973937413,-0.44299384999591895,234,0.5555555555555556,18.2331750348868,2400,2019-01-26,2025-09-05
prob_weighted,btc,mlp,9.535656592969163,1.020865316011777,-0.39141667090670273,221,0.6018099547511312,10.535656592969163,2400,2019-01-26,2025-09-05
buy_and_hold,btc,benchmark,29.71539186474515,0.9513212296677952,-0.7663456370856906,1,1.0,30.71539186474515,2400,2019-01-26,2025-09-05
stateful,eth,xgboost,-0.5447094956464607,-0.17499409966849924,-0.6410452980963584,81,0.5185185185185185,0.4552905043535394,1200,2022-03-16,2025-07-06
defensive,eth,xgboost,-0.5596470358737232,-0.2744970832603445,-0.704304840996605,122,0.5163934426229508,0.4403529641262768,1200,2022-03-16,2025-07-06
prob_weighted,eth,xgboost,0.012391343481904515,0.0718877495795852,-0.13316686249245646,112,0.6428571428571429,1.0123913434819045,1200,2022-03-16,2025-07-06
stateful,eth,lightgbm,0.028159051068330943,0.23264078733909316,-0.5808854435171651,92,0.532608695652174,1.028159051068331,1200,2022-03-16,2025-07-06
defensive,eth,lightgbm,0.16822295436686852,0.2814098250396478,-0.5866323458994581,142,0.5563380281690141,1.1682229543668685,1200,2022-03-16,2025-07-06
prob_weighted,eth,lightgbm,0.13856372151999086,0.2778215391848261,-0.16509901162445495,116,0.5775862068965517,1.1385637215199909,1200,2022-03-16,2025-07-06
stateful,eth,random_forest,-0.197877497188105,0.10798998474451506,-0.630830485664611,84,0.5476190476190477,0.802122502811895,1200,2022-03-16,2025-07-06
defensive,eth,random_forest,-0.21229535147510947,0.06689308013018057,-0.6302854439056724,119,0.5294117647058824,0.7877046485248905,1200,2022-03-16,2025-07-06
prob_weighted,eth,random_forest,0.07531479454111523,0.23521997736769024,-0.17013534640438233,115,0.5739130434782609,1.0753147945411152,1200,2022-03-16,2025-07-06
stateful,eth,mlp,-0.5649705892775139,-0.13136858357628234,-0.6859835574363735,86,0.5,0.43502941072248613,1200,2022-03-16,2025-07-06
defensive,eth,mlp,-0.4743838039026066,-0.08137616106730733,-0.6257868353290301,113,0.5132743362831859,0.5256161960973934,1200,2022-03-16,2025-07-06
prob_weighted,eth,mlp,-0.041633728611303655,0.051241681335085214,-0.3052508382836908,99,0.5858585858585859,0.9583662713886963,1200,2022-03-16,2025-07-06
buy_and_hold,eth,benchmark,-0.07244410507348065,0.2597601608766614,-0.717943870782727,1,0.0,0.9275558949265194,1200,2022-03-16,2025-07-06
