asset,arch,model,variant,class,ece,brier
btc,3stage_full,xgboost,raw,Sell,0.1647729680438836,0.2646518349647522
btc,3stage_full,xgboost,raw,Hold,0.12764265149210893,0.20768269896507263
btc,3stage_full,xgboost,raw,Buy,0.1725339270134767,0.28810498118400574
btc,3stage_full,xgboost,cal,Sell,0.08696689259610138,0.23582300543785095
btc,3stage_full,xgboost,cal,Hold,0.043191313853021725,0.1818731725215912
btc,3stage_full,xgboost,cal,Buy,0.10957119705155491,0.25958356261253357
btc,3stage_full,lightgbm,raw,Sell,0.23446092407895744,0.29910990500371304
btc,3stage_full,lightgbm,raw,Hold,0.16187756312304147,0.21818044105126072
btc,3stage_full,lightgbm,raw,Buy,0.2509281039369411,0.32098897460872033
btc,3stage_full,lightgbm,cal,Sell,0.08274470590588047,0.23481311576652378
btc,3stage_full,lightgbm,cal,Hold,0.05159015614869643,0.18274668854110482
btc,3stage_full,lightgbm,cal,Buy,0.118830048971078,0.2601153280780499
btc,3stage_full,random_forest,raw,Sell,0.06023612462507175,0.23145832172123107
btc,3stage_full,random_forest,raw,Hold,0.07411877795658281,0.1853467347444389
btc,3stage_full,random_forest,raw,Buy,0.09367910046379557,0.2565051460087893
btc,3stage_full,random_forest,cal,Sell,0.0888287261945539,0.23747912222484396
btc,3stage_full,random_forest,cal,Hold,0.04676280016351497,0.18383417948350947
btc,3stage_full,random_forest,cal,Buy,0.09805948877002407,0.25834662753595744
btc,3stage_full,mlp,raw,Sell,0.2646580440125307,0.3221978135519132
btc,3stage_full,mlp,raw,Hold,0.1477090372222236,0.20964106454318338
btc,3stage_full,mlp,raw,Buy,0.30083080256011346,0.3592725557582316
btc,3stage_full,mlp,cal,Sell,0.09751914543307412,0.24671441717380568
btc,3stage_full,mlp,cal,Hold,0.05364304570902428,0.18236720570001907
btc,3stage_full,mlp,cal,Buy,0.12285669867433216,0.2730579844239951
eth,flat,lightgbm,raw,Sell,0.07231113682890887,0.24215919408809555
eth,flat,lightgbm,raw,Hold,0.10081564480934076,0.2003928752526827
eth,flat,lightgbm,raw,Buy,0.08549315703771124,0.25062341619396644
eth,flat,lightgbm,cal,Sell,0.10263050710741564,0.24745879593451017
eth,flat,lightgbm,cal,Hold,0.06263311584790351,0.18658540479250868
eth,flat,lightgbm,cal,Buy,0.09746884976514524,0.25042872063752647
eth,flat,xgboost,raw,Sell,0.08523943919067581,0.2428780049085617
eth,flat,xgboost,raw,Hold,0.10787415898094574,0.20090343058109283
eth,flat,xgboost,raw,Buy,0.098638179966559,0.2520982325077057
eth,flat,xgboost,cal,Sell,0.10499687971547246,0.24561694264411926
eth,flat,xgboost,cal,Hold,0.05399044203882415,0.18648084998130798
eth,flat,xgboost,cal,Buy,0.08561842012684791,0.2537720799446106
eth,flat,random_forest,raw,Sell,0.04014725086165318,0.2349309216416011
eth,flat,random_forest,raw,Hold,0.0880285300884482,0.19102682343437175
eth,flat,random_forest,raw,Buy,0.05055274279853141,0.24297468335122707
eth,flat,random_forest,cal,Sell,0.0954031234556392,0.24680744972199828
eth,flat,random_forest,cal,Hold,0.043944498030061424,0.1867182449051807
eth,flat,random_forest,cal,Buy,0.07815666674083799,0.2554840161592814
eth,flat,mlp,raw,Sell,0.0791161195139983,0.24393265011567944
eth,flat,mlp,raw,Hold,0.0811154216772293,0.19208697632299365
eth,flat,mlp,raw,Buy,0.11157576731105392,0.25468435318727917
eth,flat,mlp,cal,Sell,0.10200325788966359,0.24889896407459736
eth,flat,mlp,cal,Hold,0.046545353161992035,0.18812028988165533
eth,flat,mlp,cal,Buy,0.0728337605011062,0.252401768781959
